Antonio Augusto;33;215839345;aaugusto@hotmail.com;123456789;5000
Joana Azevedo;25;223459345;jazevedo@gmail.com;663423489;2500
Carlos Maia;23;231000000;ei12132@jaganhou.com;221331331;3000
Maria Malmequer;18;252619900;mmmquer@hotmail.com;2;502
Zenaid Gomes;44;915544492;21313ja@gmail.com;212113133;7000
Xana Ferreira;55;212312323;zmalucadetodo@hotmail.com;212132312;190
Baltazar setesois;64;972233113;213123112@hotmail.com;12312131;5444
Bermilda seteLuas;63;921231243;luadoida02@gmail.com;121323124;3000
Carlota Joakina;23;912342313;carlota16@hotmail.com;123132422;1233
Tiago Nogueira;63;245459345;tnogueira@hotmail.com;344456789;7000
Ricardo Almeida;55;275359345;ralmeida@gmail.com;566423489;5500
