Jose Fernando;56;238974983;josefer@hotmail.com;1
Fernando Quadrado;36;238924983;ferquad@hotmail.com;2
Agostinho Quaresma;26;258964983;aquar@hotmail.com;3
Flavia Antonieta;26;258965453;flaviaan@hotmail.com;4
Jorge Almeida;53;254465453;jalmeida@hotmail.com;5
Americo Alberto;33;223412388;agosta@gmail.com;6
Paulo Faria;26;233333445;pfaria@gmail.com;7
Jose Bernardo;26;345676456;jber@gmail.com;8
Bernardo Amorim;44;234234234;bernardoa@gmail.com;9
Zafira Silas;92;231123123;zaza@hotmail.com;10
Joao Carvalho;102;392123900;jocarvalho@hotmail.com;11
Fabio Moreira;32;923333900;fabiom@gmail.com;12
Andre Silva;20;384848484;andresilva@sapo.pt;13
